file,set,author,author_url,source,licence,seconds,bytes
phone/10374888.mp4,phone,RDNE Stock project,https://www.pexels.com/@rdne,https://www.pexels.com/video/close-up-on-man-hand-scrolling-phone-gallery-10374888/,Pexels,8,4736150
phone/8810537.mp4,phone,Los Muertos Crew,https://www.pexels.com/@cristian-rojas,https://www.pexels.com/video/woman-smiling-while-using-her-phone-8810537/,Pexels,5,2962584
phone/6446139.mp4,phone,Pavel Danilyuk,https://www.pexels.com/@pavel-danilyuk,https://www.pexels.com/video/woman-typing-on-mobile-phone-6446139/,Pexels,12,5516253
phone/8103667.mp4,phone,MART  PRODUCTION,https://www.pexels.com/@mart-production,https://www.pexels.com/video/man-eating-while-browsing-on-his-phone-8103667/,Pexels,20,6126908
phone/6962433.mp4,phone,Eva Bronzini,https://www.pexels.com/@eva-bronzini,https://www.pexels.com/video/a-person-typing-on-a-cellphone-6962433/,Pexels,15,10214928
phone/8066973.mp4,phone,Anna Tarazevich,https://www.pexels.com/@anntarazevich,https://www.pexels.com/video/woman-using-smartphone-8066973/,Pexels,8,5091823
phone/13441336.mp4,phone,Mizuno K,https://www.pexels.com/@mizunokozuki,https://www.pexels.com/video/a-person-using-a-smartphone-app-to-order-food-online-13441336/,Pexels,10,4561930
street/9928863.mp4,street,Nikita Nikitin,https://www.pexels.com/@nikitaxnikitin,https://www.pexels.com/video/close-up-on-human-legs-walking-on-sidewalk-9928863/,Pexels,10,7365483
street/5704914.mp4,street,Anastasia  Shuraeva,https://www.pexels.com/@anastasia-shuraeva,https://www.pexels.com/video/woman-walking-down-the-stairs-5704914/,Pexels,16,9963962
street/6083372.mp4,street,Keira Burton,https://www.pexels.com/@keira-burton,https://www.pexels.com/video/person-wearing-hijab-walking-on-the-sidewalk-6083372/,Pexels,10,7000984
street/7253210.mp4,street,MART  PRODUCTION,https://www.pexels.com/@mart-production,https://www.pexels.com/video/woman-at-a-bus-stop-7253210/,Pexels,18,4148970
street/35022572.mp4,street,Dara,https://www.pexels.com/@dara-2157808670,https://www.pexels.com/video/woman-climbing-ancient-stone-steps-outdoors-35022572/,Pexels,5,2458401
street/7576114.mp4,street,PNW Production,https://www.pexels.com/@pnw-prod,https://www.pexels.com/video/man-zipping-up-his-jacket-7576114/,Pexels,15,10106889
street/9595330.mp4,street,Ron Lach,https://www.pexels.com/@ron-lach,https://www.pexels.com/video/a-salesperson-handing-shopping-bags-to-a-customer-9595330/,Pexels,13,3314313
street/7251560.mp4,street,MART  PRODUCTION,https://www.pexels.com/@mart-production,https://www.pexels.com/video/young-man-walking-on-pavement-7251560/,Pexels,13,9223549
street/5999646.mp4,street,Ono  Kosuki,https://www.pexels.com/@ono-kosuki,https://www.pexels.com/video/woman-standing-and-waiting-on-subway-platform-5999646/,Pexels,12,7664988
